Canal,Fecha,categoria,sku,marca,descripcion,precio
Costco,04-04-2024,,658638,Estufa,"Estufa profesional San-Son de 4 quemadores, plancha y horno ","$41,999"
Costco,04-04-2024,,658657,Plancha,"Plancha profesional San Son de 24"", acero inoxidable ","$12,999"
Costco,04-04-2024,,VA509693,Smeg,Smeg Tostador Dos Rebanadas Varios Colores ,"$3,299"
Costco,04-04-2024,,1385185,Ninja,"Ninja Foodi, Horno con Freidora de Aire 8 en 1 ","$5,499"
Costco,04-04-2024,,672848,"Chefman,","Chefman, Horno Digital + Freidora de Aire de 20L","$4,499"
Costco,04-04-2024,,678803,Hamilton,"Hamilton Beach Professional, Horno Digital con Freidora de aire y Sensor de Temperatura","$2,999"
Costco,04-04-2024,,652521,Panasonic,Panasonic microondas .9' silver,"$2,799"
Costco,04-04-2024,,661761,Panasonic,Panasonic Horno de Microondas 1.6' Inverter,"$5,699"
Costco,04-04-2024,,681197,Forno,"Forno Napoli, Horno de Leña  Modelo Barano, Color Blanco","$39,999"
Costco,04-04-2024,,675250,Whirlpool,Whirlpool Parrilla de gas 58cm,"$6,999"
Costco,04-04-2024,,675254,Whirlpool,Whirlpool Horno eléctrico 60cm,"$21,999"
Costco,04-04-2024,,673812,Bertazzoni,Bertazzoni Parrilla de Gas 90cm con 5 quemadores ,"$19,999"
Costco,04-04-2024,,677163,KitchenAid,"KitchenAid Horno Eléctrico Doble 30""","$124,999"
Costco,04-04-2024,,683053,Bosch,"Bosch Horno de Vapor 30""","$94,999"
Costco,04-04-2024,,677141,LG,"LG Aire Acondicionado ArtCool Inverter, VR182CW, Solo Frío, 220V, 1.5 Toneladas, 18,000 BTU/h, Wifi","$16,999"
Costco,04-04-2024,,677143,LG,"LG Aire Acondicionado ArtCool Inverter, VR242CW, Solo Frío, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$19,999"
Costco,04-04-2024,,677150,LG,"LG Aire Acondicionado DualCool Inverter Tipo Ventana WiFi Solo Frío14,000 Btus VW151CE","$10,999"
Costco,04-04-2024,,665116,Teka,Teka Campana de isla 107cm,"$14,999"
Costco,04-04-2024,,671478,Smeg,Smeg Campana 90Cm Downdraft,"$57,899"
Costco,04-04-2024,,636335,Maytag,"Maytag Estufa de piso de 30"" 5 quemadores de gas","$20,999"
Costco,04-04-2024,,670431,Elica,Elica Campana de pared 90cm ,"$9,499"
Costco,04-04-2024,,673355,Elica,Elica Campana de Isla 90cm Cignoli ,"$12,499"
Costco,04-04-2024,,527922,Panasonic,Panasonic horno de microondas 2.2´,"$7,399"
Costco,04-04-2024,,640700,Panasonic,Panasonic horno de microondas 1.3',"$3,499"
Costco,04-04-2024,,666553,Pizzarette,"Pizzarette Grill, Horno para Mini Pizzas, Westinghouse",$999
Costco,04-04-2024,,672424,"Panasonic,","Panasonic, horno de microondas  1.3' Inverter","$3,199"
Costco,04-04-2024,,VA509718,Smeg,Smeg Tostador para 4 Rebanadas Varios Colores,"$4,299"
Costco,04-04-2024,,596764,KitchenAid,"KitchenAid Horno de convección empotrable 30"" .","$139,999"
Costco,04-04-2024,,659283,Smeg,Smeg Parrilla Teppan Yaki 30cm,"$34,499"
Costco,04-04-2024,,620277,Teka,Teka Parrilla de gas 5 quemadores 68cm + campana empotrable 80cm,"$9,999"
Costco,04-04-2024,,524201,Whirlpool,Whirlpool Parrilla de gas 5 quemadores 86cm,"$10,499"
Costco,04-04-2024,,509786,Smeg,Smeg Horno eléctrico 90cm,"$49,999"
Costco,04-04-2024,,656841,Smeg,Smeg Horno de gas 60cm,"$23,499"
Costco,04-04-2024,Refrigeradores,668539,LG,LG Refrigerador 27´Duplex Instaview Door in Door con Dispensador de agua,"$47,999"
Costco,04-04-2024,Refrigeradores,521310,Teka,"Teka Refrigerador de 19' cuatro puertas dual cooling system, color acero inoxidable","$27,999"
Costco,04-04-2024,Refrigeradores,675431,LG,LG Refrigerador 29' French Door Multi-Air Flow,"$25,999"
Costco,04-04-2024,Refrigeradores,656465,LG,LG Refrigerador 25' French Door Door Cooling,"$27,999"
Costco,04-04-2024,Refrigeradores,675388,Dace,Dace Refrigerador 7' ,"$4,599"
Costco,04-04-2024,Refrigeradores,659548,LG,LG Refrigerador 20' Top Mount Multi-Air Flow,"$18,999"
Costco,04-04-2024,Refrigeradores,625824,LG,LG Refrigerador 22' French Door con Dispensador de agua,"$27,999"
Costco,04-04-2024,Refrigeradores,677230,Hisense,Hisense Refrigerador 21'  cuatro puertas,"$28,499"
Costco,04-04-2024,Refrigeradores,657755,LG,LG Refrigerador 30' Instaview Door-in-Door,"$79,999"
Costco,04-04-2024,Refrigeradores,668446,LG,"LG Refrigerador 22' Duplex Door in Door, Door Cooling","$34,499"
Costco,04-04-2024,Refrigeradores,674427,LG,LG Refrigerador 28' French Door Door Cooling,"$37,499"
Costco,04-04-2024,Refrigeradores,681751,Samsung,Samsung Refrigerador de 32´ French Door con Centro de Bebidas ,"$34,999"
Costco,04-04-2024,Refrigeradores,671692,LG,LG Refrigerador 27' Duplex con Dispensador de agua,"$35,999"
Costco,04-04-2024,Refrigeradores,681343,Samsung,Samsung Refrigerador 32´ French Door,"$37,999"
Costco,04-04-2024,Refrigeradores,678130,Whirlpool,Whirlpool Refrigerador 25' 7WRS25SDHM,"$25,499"
Costco,04-04-2024,Refrigeradores,649824,Maytag,Maytag Refrigerador 25' French Door,"$39,999"
Costco,04-04-2024,Refrigeradores,670473,Whirlpool,Whirlpool Congelador horizontal 11',"$14,499"
Costco,04-04-2024,Refrigeradores,670471,Whirlpool,Whirlpool Congelador horizontal 7',"$11,499"
Costco,04-04-2024,Refrigeradores,650998,Whirlpool,Whirlpool Refrigerador 25' Dúplex,"$26,999"
Costco,04-04-2024,Refrigeradores,652709,Maytag,Maytag Refrigerador 21' Top Mount,"$20,999"
Costco,04-04-2024,,676432,"Carrier,","Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599"
Costco,04-04-2024,Lavadoras,682698,Maytag,Maytag Lavadora 25 KG,"$21,499"
Costco,04-04-2024,Refrigeradores,662673,Samsung,Samsung Refrigerador 22' Family Hub,"$42,999"
