Canal,Fecha,categoria,subcategoria,sku,marca,descripcion,precio
Costco,21-04-2024,Hornos-y-Parrillas,,681234,Forno,"Forno Napoli, Horno de Leña  Modelo Barano, Color Negro","$39,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,672424,Panasonic,"Panasonic, horno de microondas  1.3' Inverter","$3,199"
Costco,21-04-2024,Lavadoras,Lavadoras,657021,Whirlpool,Whirlpool Secadora eléctrica 23Kg,"$17,999"
Costco,21-04-2024,Aires Acondicionados,,682318,Carrier,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$14,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,670473,Whirlpool,Whirlpool Congelador horizontal 11',"$14,499"
Costco,21-04-2024,Hornos-y-Parrillas,,681197,Forno,"Forno Napoli, Horno de Leña  Modelo Barano, Color Blanco","$39,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,1385185,Ninja,"Ninja Foodi, Horno con Freidora de Aire 8 en 1 ","$5,499"
Costco,21-04-2024,Lavadoras,Lavadoras,668513,LG,LG Torre de lavado de gas WashTower™ gris 22Kg / 22Kg,"$52,999"
Costco,21-04-2024,Aires Acondicionados,,682224,Carrier,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$16,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,671692,LG,LG Refrigerador 27' Duplex con Dispensador de agua,"$35,999"
Costco,21-04-2024,Hornos-y-Parrillas,,675250,Whirlpool,Whirlpool Parrilla de gas 58cm,"$6,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,661761,Panasonic,Panasonic Horno de Microondas 1.6' Inverter,"$5,699"
Costco,21-04-2024,Lavadoras,Lavadoras,676306,Whirlpool,Whirlpool Combo de lavado de gas 21/23Kg,"$39,999"
Costco,21-04-2024,Calentadores,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499"
Costco,21-04-2024,Refrigeradores,Refrigeradores,545989,Whirlpool,Whirlpool Refrigerador y congelador de 18´ sidekicks,"$109,999"
Costco,21-04-2024,Hornos-y-Parrillas,,675254,Whirlpool,Whirlpool Horno eléctrico 60cm,"$21,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,651939,Samsung,Samsung microondas 1.1' ,"$3,199"
Costco,21-04-2024,Lavadoras,Lavadoras,682702,Maytag,Maytag Secadora 26 KG,"$19,999"
Costco,21-04-2024,Aires Acondicionados,,677150,LG,"LG Aire Acondicionado DualCool Inverter Tipo Ventana WiFi Solo Frío14,000 Btus VW151CE","$10,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,676485,Bertazzoni,Bertazzoni Refrigerador 36' French Door,"$72,999"
Costco,21-04-2024,Hornos-y-Parrillas,,673812,Bertazzoni,Bertazzoni Parrilla de Gas 90cm con 5 quemadores ,"$19,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,VA509693,Smeg,Smeg Tostador Dos Rebanadas Varios Colores ,"$3,299"
Costco,21-04-2024,Lavadoras,Lavadoras,673525,LG,LG Secadora de gas 22Kg con pedestal carga frontal,"$20,999"
Costco,21-04-2024,Aires Acondicionados,,680995,Carrier,"Carrier, Aire Acondicionado Ventana De 12,000 Bus a 110V, Sólo Frío","$7,699"
Costco,21-04-2024,Refrigeradores,Refrigeradores,678130,Whirlpool,Whirlpool Refrigerador 25' 7WRS25SDHM,"$25,499"
Costco,21-04-2024,Hornos-y-Parrillas,,683053,Bosch,"Bosch Horno de Vapor 30""","$94,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,508053,Samsung,Samsung horno de microondas + grill 1.0',"$3,799"
Costco,21-04-2024,Lavadoras,Lavadoras,674473,LG,LG Lavasecadora 22kg / 13Kg + twin wash mini 3.5Kg,"$36,999"
Costco,21-04-2024,Calentadores,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,650998,Whirlpool,Whirlpool Refrigerador 25' Dúplex,"$26,999"
Costco,21-04-2024,Hornos-y-Parrillas,,677163,KitchenAid,"KitchenAid Horno Eléctrico Doble 30""","$124,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,VA509718,Smeg,Smeg Tostador para 4 Rebanadas Varios Colores,"$4,299"
Costco,21-04-2024,Lavadoras,Lavadoras,678301,Whirlpool,Whirlpool Lavadora 19Kg Top Load,"$15,999"
Costco,21-04-2024,Aires Acondicionados,,677141,LG,"LG Aire Acondicionado ArtCool Inverter, VR182CW, Solo Frío, 220V, 1.5 Toneladas, 18,000 BTU/h, Wifi","$16,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,670954,Whirlpool,Whirlpool Refrigerador 17' Bottom Mount,"$19,999"
Costco,21-04-2024,Hornos-y-Parrillas,,509786,Smeg,Smeg Horno eléctrico 90cm,"$49,999"
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,Lavadoras,Lavadoras,665948,Samsung,Samsung Lavasecadora 20Kg / 12Kg con pedestal,"$28,499"
Costco,21-04-2024,Aires Acondicionados,,677143,LG,"LG Aire Acondicionado ArtCool Inverter, VR242CW, Solo Frío, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$19,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,681344,Samsung,Samsung Refrigerador 31' French Door,"$44,999"
Costco,21-04-2024,Hornos-y-Parrillas,,656851,Smeg,Smeg Parrilla barbacoa eléctrica 30cm,"$13,999"
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,Lavadoras,Lavadoras,668322,Maytag,Maytag Secadora de gas 28Kg Carga Superior ,"$22,999"
Costco,21-04-2024,Calentadores,,674429,DeLonghi,"De'Longhi, Calentador de Aceite Portátil, TRLS0715EL","$2,599"
Costco,21-04-2024,Refrigeradores,Refrigeradores,674600,Whirlpool,Whirlpool Refrigerador 25' Side by Side,"$31,999"
Costco,21-04-2024,Hornos-y-Parrillas,,658634,Horno,"Horno de convección computarizado San-Son, acero inoxidable ","$86,999"
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,Lavadoras,Lavadoras,676247,Samsung,Samsung Lavadora 22Kg,"$16,499"
Costco,21-04-2024,Aires Acondicionados,,677139,LG,"LG Aire Acondicionado ArtCool Inverter, VR122CW, Solo Frío, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,499"
Costco,21-04-2024,Hornos-y-Parrillas,,658659,Asador,"Asador profesional San-Son de 12' con 1 quemador, acero inoxidable ","$9,999"
Costco,21-04-2024,Lavadoras,Lavadoras,678302,Whirlpool,Whirlpool Lavadora 21Kg Top Load,"$16,999"
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,Hornos-y-Parrillas,,671494,Smeg,Smeg Parrilla eléctrica 30cm,"$11,899"
Costco,21-04-2024,Lavadoras,Lavadoras,683087,Bosch,Bosch Lavadora Eléctrica 8Kg Front Load,"$41,999"
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,https:,,,,,
